City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
263,San Patricio,US,28.017,-97.5169,61.0,72,75,11.5,broken clouds
264,Deputatskiy,RU,69.3,139.9,-12.64,88,100,3.04,overcast clouds
265,Kisangani,CD,0.5167,25.2,69.66,95,100,0.89,overcast clouds
266,Soubre,CI,5.7856,-6.6083,73.78,96,61,2.98,broken clouds
267,Qaanaaq,GL,77.484,-69.3632,-12.75,64,0,7.78,clear sky
268,Sorata,BO,-15.7667,-68.6333,41.47,82,41,1.61,scattered clouds
269,Upernavik,GL,72.7868,-56.1549,-18.08,80,0,13.33,clear sky
270,Beringovskiy,RU,63.05,179.3167,13.39,93,40,14.97,scattered clouds
271,Omsukchan,RU,62.5333,155.8,-16.67,80,99,6.24,overcast clouds
272,Tiksi,RU,71.6872,128.8694,-13.49,88,100,6.58,overcast clouds
273,Dulce Nombre De Culmi,HN,15.1,-85.5333,75.2,69,40,6.91,scattered clouds
274,Saint-Cyr-Sur-Loire,FR,47.4,0.6667,33.8,75,44,6.91,scattered clouds
275,Kokopo,PG,-4.352,152.2633,82.63,78,100,6.31,light rain
276,Luderitz,NA,-26.6481,15.1594,63.64,73,0,14.85,clear sky
277,Lompoc,US,34.6391,-120.4579,50.0,87,75,4.61,broken clouds
278,Hofn,IS,64.2539,-15.2082,38.41,72,100,6.46,overcast clouds
279,Boa Vista,BR,2.8197,-60.6733,77.0,83,0,6.91,light rain
280,Camacari,BR,-12.6975,-38.3242,80.6,74,40,11.5,scattered clouds
281,Hovd,MN,48.0056,91.6419,33.03,62,67,3.4,broken clouds
282,Rawson,AR,-43.3002,-65.1023,60.19,32,0,21.65,clear sky
283,Mineiros,BR,-17.5694,-52.5511,65.79,94,100,3.2,heavy intensity rain
284,Esperance,AU,-33.8667,121.9,69.8,73,90,5.75,overcast clouds
285,Kharp,RU,66.8014,65.8081,-18.38,86,100,1.97,overcast clouds
286,Souillac,MU,-20.5167,57.5167,77.0,94,40,4.61,scattered clouds
287,Nuuk,GL,64.1835,-51.7216,26.6,93,90,8.05,overcast clouds
288,Los Llanos De Aridane,ES,28.6585,-17.9182,64.4,77,0,4.61,clear sky
289,Vanderhoof,CA,54.0166,-124.0198,28.76,97,100,2.04,overcast clouds
290,Marang,MY,5.2056,103.2059,86.0,70,20,5.75,few clouds
291,Pundaguitan,PH,6.3711,126.1689,81.59,72,79,6.73,broken clouds
292,Ubauro,PK,28.1652,69.7289,81.0,22,0,15.73,clear sky
293,Skovorodino,RU,53.9833,123.9167,18.0,94,100,4.7,overcast clouds
294,Lander,US,42.833,-108.7307,48.2,21,1,13.8,clear sky
295,Ekhabi,RU,53.5102,142.9671,9.91,88,0,12.19,clear sky
296,Pangnirtung,CA,66.1451,-65.7125,-3.32,79,0,1.9,clear sky
297,Shipunovo,RU,52.1582,82.2173,27.66,92,96,14.9,overcast clouds
298,Kushima,JP,31.4583,131.2333,57.2,67,75,10.36,broken clouds
299,Chernyshevskiy,RU,63.0128,112.4714,14.02,97,98,5.26,light snow
300,Shizunai,JP,42.3339,142.3669,34.68,85,85,14.43,overcast clouds
301,Tecpan,GT,14.7623,-90.9947,64.4,68,40,23.02,scattered clouds
302,Faya,SA,18.3851,42.4509,55.4,57,0,0.92,clear sky
303,Adzope,CI,6.1069,-3.8619,74.79,98,100,3.2,overcast clouds
304,Mandalgovi,MN,45.7625,106.2708,38.53,58,0,6.44,clear sky
305,Riyadh,SA,24.6877,46.7219,60.8,38,0,10.18,clear sky
306,Klaksvik,FO,62.2266,-6.589,41.0,100,90,1.14,overcast clouds
307,Tual,ID,-5.6667,132.75,83.5,75,17,15.55,few clouds
308,Mariinsk,RU,56.2139,87.7472,21.29,96,99,8.75,overcast clouds
309,Namibe,AO,-15.1961,12.1522,78.1,75,89,3.2,overcast clouds
310,Briceni,MD,48.3572,27.7036,32.0,73,14,7.56,few clouds
311,Mashhad,IR,36.297,59.6062,39.2,81,0,6.91,clear sky
312,Pochutla,MX,15.7432,-96.4661,79.0,73,1,2.24,clear sky
