City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
463,Yulara,AU,75.2,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
466,Monrovia,LR,77.0,scattered clouds,6.3005,-10.7969,Sunset Inn
467,Barranca,PE,72.48,broken clouds,-10.75,-77.7667,El Olivar Hospedaje
480,Rosita,NI,73.27,few clouds,13.9268,-84.4032,Hospedaje Zeledón
482,Morondava,MG,76.23,clear sky,-20.2833,44.2833,La Case Bambou
484,Pekan,MY,71.6,few clouds,3.4836,103.3996,Pekan Budget Hotel
488,Kimbe,PG,86.85,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
489,Santa Rosa,PH,80.6,scattered clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
490,Dzaoudzi,YT,78.8,clear sky,-12.7887,45.2699,Le Rocher
491,Delvada,IN,73.87,clear sky,20.7667,71.0333,Hotel Shivam
498,Moron,AR,75.0,light rain,-34.6534,-58.6198,Hotel Morón
501,Diffa,NE,73.62,clear sky,13.3154,12.6113,ProDAF/Diffa
502,Namibe,AO,75.67,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
504,Sao Felix Do Xingu,BR,73.89,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
506,Auki,SB,86.09,broken clouds,-8.7676,160.7034,Auki Motel
509,Playas,EC,78.4,moderate rain,-2.6333,-80.3833,Hostal Promenade
511,Cam Ranh,VN,75.2,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
512,Cairns,AU,84.2,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
513,Labuhan,ID,78.08,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
515,Kigorobya,UG,70.32,broken clouds,1.6162,31.3089,Palace guest house kigorobya
517,Humaita,BR,75.52,heavy intensity rain,-7.5061,-63.0208,Corrêa Hotel
518,Santa Maria,BR,73.4,clear sky,-29.6842,-53.8069,Hotel Morotin
519,Boyolangu,ID,76.53,overcast clouds,-8.1181,111.8935,Yos ega cv
521,Ngunguru,NZ,72.0,broken clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
523,Saravena,CO,78.21,broken clouds,6.9538,-71.8752,Hotel Diamante Saravena
526,Sinnamary,GF,78.01,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
528,Katobu,ID,79.12,light rain,-4.9408,122.5276,La Ode Husein
531,Salinopolis,BR,77.79,light rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
534,Kerema,PG,83.59,broken clouds,-7.9631,145.7785,Frena Lodge
538,Saint George,US,75.2,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
540,Porto Walter,BR,79.63,broken clouds,-8.2686,-72.7439,Secretaria de saúde
553,Sinjai,ID,79.16,scattered clouds,-5.1241,120.25299999999999,Wisma Sandika
557,Ixtapa,MX,77.0,clear sky,20.7,-105.2,Hotel Plaza Providencia
558,Cockburn Town,TC,75.2,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
559,Tarakan,ID,76.75,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
