City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
135,Codrington,AU,2021-03-04 05:28:35,-38.2667,141.9667,62.82,72,100,14.99
136,Brokopondo,SR,2021-03-04 05:28:36,4.75,-55.1667,76.08,85,85,9.84
137,Bonavista,CA,2021-03-04 05:28:37,48.6499,-53.1147,23.0,85,16,5.75
138,College,US,2021-03-04 05:28:37,64.8569,-147.8028,-0.99,77,90,2.57
139,Carnarvon,AU,2021-03-04 05:28:38,-24.8667,113.6333,80.6,65,57,11.5
140,Ostrovnoy,RU,2021-03-04 05:28:39,68.0531,39.5131,15.28,95,100,14.72
141,Anadyr,RU,2021-03-04 05:28:39,64.75,177.4833,6.8,85,90,64.87
142,Porosozero,RU,2021-03-04 05:28:40,62.7191,32.727,13.17,97,74,4.54
143,Nikolskoye,RU,2021-03-04 05:28:41,59.7035,30.7861,27.0,86,0,11.18
144,Ahipara,NZ,2021-03-04 05:28:42,-35.1667,173.1667,68.95,70,3,9.01
145,Chapais,CA,2021-03-04 05:28:42,49.7834,-74.8492,-9.4,70,1,8.05
146,Alamos,MX,2021-03-04 05:27:20,27.0167,-108.9333,69.01,53,79,3.29
147,Kendari,ID,2021-03-04 05:28:44,-3.945,122.4989,85.01,72,81,3.76
148,Mount Isa,AU,2021-03-04 05:24:56,-20.7333,139.5,100.4,14,83,21.85
149,Alekseyevsk,RU,2021-03-04 05:28:50,57.8406,108.3492,-8.28,83,45,1.97
150,Alofi,NU,2021-03-04 05:28:51,-19.0595,-169.9187,80.6,83,100,6.91
151,Rath,IN,2021-03-04 05:28:52,25.5833,79.5667,86.68,12,0,2.15
152,Krasnoselkup,RU,2021-03-04 05:28:55,65.7,82.4667,5.22,93,100,20.85
153,Graaff-Reinet,ZA,2021-03-04 05:29:00,-32.2522,24.5308,66.0,90,11,1.99
154,Haines Junction,CA,2021-03-04 05:29:01,60.7522,-137.5108,17.6,67,99,6.91
155,Kodiak,US,2021-03-04 05:25:37,57.79,-152.4072,32.0,55,1,21.85
156,Auki,SB,2021-03-04 05:29:04,-8.7676,160.7034,81.36,82,93,7.7
157,Avarua,CK,2021-03-04 05:29:05,-21.2078,-159.775,80.6,83,100,3.44
158,Superior,US,2021-03-04 05:29:07,46.7208,-92.1041,30.2,86,40,9.22
159,Shu,KZ,2021-03-04 05:29:08,43.5983,73.7614,42.1,85,92,8.34
160,Flinders,AU,2021-03-04 05:29:10,-34.5833,150.8552,82.0,58,15,4.0
161,Tiznit,MA,2021-03-04 05:29:11,29.5833,-9.5,54.18,77,2,0.94
162,Khatanga,RU,2021-03-04 05:26:02,71.9667,102.5,-30.05,81,0,6.87
